<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SGN,20170810,151.00,151.30,151.00,151.01,8300,153.00,153.30,153.00,153.00,0,7700,0
SGN,20170809,151.30,151.30,151.30,151.30,300,153.30,153.30,153.30,153.30,0,0,0
SGN,20170808,152.00,152.00,151.50,151.50,4700,154.00,154.00,153.50,153.50,0,4300,0
SGN,20170807,151.11,151.11,151.11,151.11,100,153.10,153.10,153.10,153.10,0,100,0
SGN,20170804,150.02,150.02,150.02,150.02,300,152.00,152.00,152.00,152.00,0,200,0
SGN,20170803,157.43,157.43,156.93,156.93,3200,159.50,159.50,159.00,159.00,0,0,0
SGN,20170802,152.99,157.92,152.99,157.92,415,155.00,160.00,155.00,160.00,0,200,0
SGN,20170801,152.98,152.98,148.04,148.05,400,155.00,155.00,150.00,150.00,0,400,0
SGN,20170728,161.87,161.87,161.87,161.86,400,164.00,164.00,164.00,164.00,0,400,0
SGN,20170726,151.99,157.82,151.99,157.82,800,154.00,159.90,154.00,159.90,0,800,0
SGN,20170725,157.62,157.62,157.62,157.62,22,159.70,159.70,159.70,159.70,0,0,0
SGN,20170724,160.38,160.38,150.02,152.98,900,162.50,162.50,152.00,155.00,0,0,0
SGN,20170720,149.03,157.91,149.03,157.92,358,151.00,160.00,151.00,160.00,0,100,0
SGN,20170719,148.15,148.15,148.15,148.14,200,150.10,150.10,150.10,150.10,0,0,0
SGN,20170718,162.85,162.85,162.35,162.36,3500,165.00,165.00,164.50,164.50,0,3500,0
SGN,20170717,162.85,162.85,162.65,162.65,3600,165.00,165.00,164.80,164.80,0,3000,2000
SGN,20170714,162.85,162.85,162.85,162.85,2000,165.00,165.00,165.00,165.00,0,2000,0
SGN,20170713,162.65,162.65,162.65,162.65,1000,164.80,164.80,164.80,164.80,0,1000,0
SGN,20170712,162.85,162.85,162.65,162.85,1700,165.00,165.00,164.80,165.00,0,1700,0
SGN,20170711,162.85,163.84,162.56,162.55,2200,165.00,166.00,164.70,164.70,0,2000,0
SGN,20170710,165.81,165.81,163.84,163.84,500,168.00,168.00,166.00,166.00,0,0,0
SGN,20170707,172.52,172.52,165.81,165.81,1100,174.80,174.80,168.00,168.00,0,800,0
SGN,20170706,171.74,172.72,171.74,172.72,800,174.00,175.00,174.00,175.00,0,700,0
SGN,20170705,163.84,167.78,162.36,162.36,5200,166.00,170.00,164.50,164.50,0,4900,0
SGN,20170703,167.78,188.51,167.78,188.51,600,170.00,191.00,170.00,191.00,0,0,0
SGN,20170629,188.71,188.71,188.51,188.51,303,191.20,191.20,191.00,191.00,0,200,0
SGN,20170628,188.12,188.12,188.02,188.02,408,190.60,190.60,190.50,190.50,0,300,0
SGN,20170626,188.51,188.51,188.51,188.51,100,191.00,191.00,191.00,191.00,0,0,0
SGN,20170623,192.46,192.46,192.46,192.46,313,195.00,195.00,195.00,195.00,0,100,0
SGN,20170622,189.50,189.50,189.50,189.50,100,192.00,192.00,192.00,192.00,0,100,0
SGN,20170621,187.62,187.62,187.62,187.62,200,190.10,190.10,190.10,190.10,0,200,0
SGN,20170620,187.52,187.52,187.52,187.52,100,190.00,190.00,190.00,190.00,0,100,0
SGN,20170619,187.72,187.72,187.62,187.62,200,190.20,190.20,190.10,190.10,0,100,0
SGN,20170616,187.52,187.52,187.52,187.52,14200,190.00,190.00,190.00,190.00,0,14200,0
SGN,20170615,187.52,187.52,187.52,187.52,1300,190.00,190.00,190.00,190.00,0,1200,0
SGN,20170614,187.52,187.52,187.52,187.52,1303,190.00,190.00,190.00,190.00,0,1200,0
SGN,20170613,187.53,187.62,187.53,187.52,1900,190.00,190.10,190.00,190.00,0,1900,0
SGN,20170612,187.52,189.49,187.52,189.50,600,190.00,192.00,190.00,192.00,0,600,0
SGN,20170609,187.52,187.52,187.52,187.52,100,190.00,190.00,190.00,190.00,0,100,0
