<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TBD,20180627,77.71,79.18,77.71,79.08,7700,79.00,80.50,79.00,80.40,0,0,0
TBD,20180625,75.73,75.73,75.73,75.74,100,77.00,77.00,77.00,77.00,0,0,0
TBD,20180622,75.73,77.70,75.73,77.70,2800,77.00,79.00,77.00,79.00,16139,0,0
TBD,20180621,77.71,77.71,77.71,77.70,100,79.00,79.00,79.00,79.00,0,0,0
TBD,20180619,75.74,75.74,75.74,75.74,9400,77.00,77.00,77.00,77.00,1500,0,0
TBD,20180618,64.42,79.67,64.42,79.67,8300,65.50,81.00,65.50,81.00,12,0,0
TBD,20180615,73.77,74.75,73.77,74.75,15000,75.00,76.00,75.00,76.00,0,0,0
TBD,20180614,75.04,77.21,75.04,77.21,3700,76.30,78.50,76.30,78.50,1270000,0,0
TBD,20180613,75.25,75.25,74.75,75.24,3729,76.50,76.50,76.00,76.50,0,0,0
TBD,20180612,74.75,75.25,73.77,73.77,2770,76.00,76.50,75.00,75.00,14969,0,0
TBD,20180611,73.77,73.77,73.77,73.77,1000,75.00,75.00,75.00,75.00,0,0,0
TBD,20180608,74.75,74.75,73.77,73.77,6129,76.00,76.00,75.00,75.00,0,0,0
TBD,20180607,71.31,74.26,71.31,74.26,12301,72.50,75.50,72.50,75.50,8981,0,0
TBD,20180606,71.01,76.62,71.01,74.75,4718,72.20,77.90,72.20,76.00,861978,0,0
TBD,20180605,73.77,74.75,70.33,74.75,555139,75.00,76.00,71.50,76.00,389826,0,0
TBD,20180604,72.79,74.26,72.79,74.26,2301,74.00,75.50,74.00,75.50,17969,0,0
TBD,20180601,70.82,77.22,70.82,75.74,6140,72.00,78.50,72.00,77.00,0,0,0
TBD,20180531,72.78,78.69,68.06,68.56,100688,74.00,80.00,69.20,69.70,0,0,0
TBD,20180529,67.18,75.74,67.18,71.01,4400,68.30,77.00,68.30,72.20,0,0,0
TBD,20180528,72.78,72.78,65.90,67.08,9200,74.00,74.00,67.00,68.20,0,0,0
TBD,20180525,81.15,81.15,75.34,75.34,2900,82.50,82.50,76.60,76.60,0,0,0
TBD,20180524,74.06,75.73,74.06,74.95,5000,75.30,77.00,75.30,76.20,35195,0,0
TBD,20180523,71.80,74.65,71.80,74.65,17070,73.00,75.90,73.00,75.90,0,0,0
TBD,20180522,71.31,71.31,70.33,71.31,5900,72.50,72.50,71.50,72.50,52424,0,0
TBD,20180521,69.34,73.27,69.34,71.31,8420,70.50,74.50,70.50,72.50,0,0,0
TBD,20180518,71.21,71.31,67.38,67.37,5253,72.40,72.50,68.50,68.50,57762,0,60
TBD,20180517,68.85,70.82,60.10,70.82,26006,70.00,72.00,61.10,72.00,251,0,0
TBD,20180516,66.39,70.32,65.01,70.13,11717,67.50,71.50,66.10,71.30,339144,0,0
TBD,20180515,64.13,69.83,64.13,69.83,11163,65.20,71.00,65.20,71.00,0,0,0
