,address,Coordinates,Latitude,Longitude
115,"140 Charter Oak Ave, San Francisco, CA 94124, USA","140, Charter Oak Avenue, Silver Terrace, SF, California, 94124, USA",37.734712122449,-122.404683265306
116,"720 Morse St, San Francisco, CA 94112, USA","720, Morse Street, Crocker-Amazon, SF, California, 94112, USA",37.7109341972005,-122.446733641793
117,"2150 Alemany Blvd, San Francisco, CA 94112, USA","2150, Alemany Boulevard, Excelsior, SF, California, 94112, USA",37.7183505510204,-122.441936122449
118,"631 Hanover St, Daly City, CA 94014, USA","631, Hanover Street, Daly City, San Mateo County, California, 94014, USA",37.7067802800419,-122.449863352417
119,"1690 Folsom St, San Francisco, CA 94103, USA","1690, Folsom Street, Civic Center, SF, California, 94103, USA",37.7698610519711,-122.415590979238
120,"502 Naples St, San Francisco, CA 94112, USA","502, Naples Street, Excelsior, SF, California, 94112, USA",37.7207655102041,-122.431394816327
121,"166 Oxford St, San Francisco, CA 94134, USA","166, Oxford Street, St. Mary's Park, SF, California, 94134, USA",37.7277722040816,-122.420158653061
122,"835 Twin Peaks Blvd, San Francisco, CA 94131, USA","Twin Peaks Boulevard, Forest Hill, SF, California, 94131, USA",37.7460602,-122.4508786
123,"45 Sanchez St, San Francisco, CA 94114, USA","45, Sanchez Street, Western Addition, SF, California, 94114, USA",37.7685395102041,-122.431177795918
124,"1131 Geneva Ave, San Francisco, CA 94112, USA","Geneva Avenue, Ingleside, SF, California, 94112, USA",37.7200556,-122.4450952
125,"2166 Market St, San Francisco, CA 94114, USA","Market Street, Castro District, SF, California, 94114, USA",37.7621213,-122.4362068
126,"326 Hampshire St, San Francisco, CA 94110, USA","326, Hampshire Street, Potrero Hill, SF, California, 94110, USA",37.7651407325581,-122.408593325581
127,"114 Crescent Ave, San Francisco, CA 94110, USA","114, Crescent Avenue, St. Mary's Park, SF, California, 94110, USA",37.7350405714286,-122.421522571429
128,"925 Chenery St, San Francisco, CA 94131, USA","925, Chenery Street, Glen Park, SF, California, 94131, USA",37.7351842653306,-122.437652356607
129,"318 Excelsior Ave, San Francisco, CA 94112, USA","318, Excelsior Avenue, Excelsior, SF, California, 94112, USA",37.7249261632653,-122.431075102041
130,"299 Melrose Ave, San Francisco, CA 94127, USA","299, Melrose Avenue, Ingleside, SF, California, 94127, USA",37.733728,-122.448722
131,"41 Britton St, San Francisco, CA 94134, USA","41, Britton Street, Visitacion Valley, SF, California, 94134, USA",37.7133176530612,-122.412129510204
132,"233 Pope St, San Francisco, CA 94112, USA","233, Pope Street, Crocker-Amazon, SF, California, 94112, USA",37.7122496938776,-122.440326367347
133,"160 Bemis St, San Francisco, CA 94131, USA","160, Bemis Street, Glen Park, SF, California, 94131, USA",37.73708015,-122.430802425
134,"200 Cordova St, San Francisco, CA 94112, USA","200, Cordova Street, Crocker-Amazon, SF, California, 94112, USA",37.711437,-122.435601
135,"81 Tiffany Ave, San Francisco, CA 94110, USA","81, Tiffany Avenue, Bernal Heights, SF, California, 94110, USA",37.7454181313131,-122.420933171717
136,"45 Wilder St, San Francisco, CA 94131, USA","Wilder Street, Glen Park, SF, California, 94112, USA",37.7340396,-122.4328524
137,"3099 Washington St, San Francisco, CA 94115, USA","3099, Washington Street, Presidio Heights, SF, California, 94115, USA",37.790266,-122.44413
138,"50 Tiffany Ave, San Francisco, CA 94110, USA","Tiffany Avenue, Bernal Heights, SF, California, CA 94110, USA",37.7453467,-122.4211182
139,"13th St, San Francisco, CA 94103, USA","SF, California, USA",37.7792808,-122.4192363
